media,id,unknown,date,country,website,title
Houston Chronicle,133,133,133,133,133,133
Newsweek,206,206,206,206,206,206
New York Times,242,242,242,242,242,242
VICE,402,402,402,402,402,402
Breitbart News,546,546,546,546,546,546
Politico,739,739,739,739,739,739
Daily Beast,750,750,750,750,750,750
The Atlantic,1093,1093,1093,1093,1093,1093
Washington Post,1556,1556,1556,1556,1556,1556
Slate Magazine,1916,1916,1916,1916,1916,1916
Reuters,2313,2313,2313,2313,2313,2313
Quartz,2627,2627,2627,2627,2627,2627
CNN,2783,2783,2783,2783,2783,2783
New York Post,2794,2794,2794,2794,2794,2794
TIME,3795,3795,3795,3795,3795,3795
USA TODAY,4338,4338,4338,4338,4338,4338
NPR,4694,4694,4694,4694,4694,4694
Huffington Post,5190,5190,5190,5190,5190,5190
ABC News,5745,5745,5745,5745,5745,5745
Los Angeles Times,6607,6607,6607,6607,6607,6607
CBS News,6752,6752,6752,6752,6752,6752
NBC News,8271,8271,8271,8271,8271,8271
Fox News,11641,11641,11641,11641,11641,11641
